Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR11647688_1	SRR11647688_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18364721.0	2.2 Gbp	0.0	125.0	45.0	46.6116810603929	125.0	125	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
SRR11647688_2	SRR11647688_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18364721.0	2.2 Gbp	0.0	125.0	45.0	49.54616809549196	125.0	125	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
SRR11647689_1	SRR11647689_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20104005.0	2.5 Gbp	0.0	125.0	47.0	42.77102408634694	125.0	125	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
SRR11647689_2	SRR11647689_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20104005.0	2.5 Gbp	0.0	125.0	47.0	46.14682105941013	125.0	125	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
SRR11647690_1	SRR11647690_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17123372.0	2.1 Gbp	0.0	125.0	46.0	48.186535730487485	125.0	125	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
SRR11647690_2	SRR11647690_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17123372.0	2.1 Gbp	0.0	125.0	46.0	51.09056404502581	125.0	125	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
SRR11647699_1	SRR11647699_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16988717.0	2.1 Gbp	0.0	125.0	45.0	52.63165225200892	125.0	125	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
SRR11647699_2	SRR11647699_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16988717.0	2.1 Gbp	0.0	125.0	45.0	55.5319143939363	125.0	125	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
SRR11647700_1	SRR11647700_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18195772.0	2.2 Gbp	0.0	125.0	47.0	44.15960098563617	125.0	125	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
SRR11647700_2	SRR11647700_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18195772.0	2.2 Gbp	0.0	125.0	47.0	47.02516183099416	125.0	125	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
SRR11647701_1	SRR11647701_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18953083.0	2.3 Gbp	0.0	125.0	45.0	51.666413043932735	125.0	125	pass	pass	pass	pass	warn	warn	pass	pass	warn	pass	pass
SRR11647701_2	SRR11647701_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18953083.0	2.3 Gbp	0.0	125.0	46.0	54.0525316830759	125.0	125	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
