Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR11647688_1	53.3883189396071	45.0	125.0	125	9.090909090909092	18364721.0
SRR11647688_2	50.45383190450804	45.0	125.0	125	9.090909090909092	18364721.0
SRR11647689_1	57.22897591365306	47.0	125.0	125	9.090909090909092	20104005.0
SRR11647689_2	53.85317894058987	47.0	125.0	125	9.090909090909092	20104005.0
SRR11647690_1	51.813464269512515	46.0	125.0	125	9.090909090909092	17123372.0
SRR11647690_2	48.90943595497419	46.0	125.0	125	0.0	17123372.0
SRR11647699_1	47.36834774799108	45.0	125.0	125	0.0	16988717.0
SRR11647699_2	44.4680856060637	45.0	125.0	125	0.0	16988717.0
SRR11647700_1	55.84039901436383	47.0	125.0	125	9.090909090909092	18195772.0
SRR11647700_2	52.97483816900584	47.0	125.0	125	9.090909090909092	18195772.0
SRR11647701_1	48.333586956067265	45.0	125.0	125	0.0	18953083.0
SRR11647701_2	45.9474683169241	46.0	125.0	125	0.0	18953083.0
