Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR11647688_1_val_1	SRR11647688_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18353146.0	2.2 Gbp	0.0	20-125	45.0	46.621514767767394	123.30493431480357	125	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
SRR11647688_2_val_2	SRR11647688_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18353146.0	2.2 Gbp	0.0	20-125	45.0	49.563851217617724	122.80284900474284	125	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR11647689_1_val_1	SRR11647689_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20103073.0	2.4 Gbp	0.0	20-125	47.0	42.77163259023268	123.2122637170944	125	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR11647689_2_val_2	SRR11647689_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20103073.0	2.4 Gbp	0.0	20-125	47.0	46.147742637012946	122.85252767076953	125	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRR11647690_1_val_1	SRR11647690_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17112479.0	2.1 Gbp	0.0	20-125	46.0	48.201118148955175	123.08347498921694	125	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR11647690_2_val_2	SRR11647690_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17112479.0	2.1 Gbp	0.0	20-125	46.0	51.108376250754205	122.71461703473821	125	pass	pass	pass	pass	warn	pass	pass	warn	warn	warn	pass
SRR11647699_1_val_1	SRR11647699_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16977770.0	2.1 Gbp	0.0	20-125	44.0	52.64651260087253	123.16268426300981	125	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
SRR11647699_2_val_2	SRR11647699_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16977770.0	2 Gbp	0.0	20-125	45.0	55.53991863124554	122.72792610572532	125	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
SRR11647700_1_val_1	SRR11647700_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18187467.0	2.2 Gbp	0.0	20-125	47.0	44.17115337548957	123.11133529479393	125	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
SRR11647700_2_val_2	SRR11647700_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18187467.0	2.2 Gbp	0.0	20-125	47.0	47.038106493899164	122.67788879012124	125	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR11647701_1_val_1	SRR11647701_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18942829.0	2.3 Gbp	0.0	20-125	45.0	51.68042863061393	123.18476685821321	125	pass	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
SRR11647701_2_val_2	SRR11647701_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18942829.0	2.3 Gbp	0.0	20-125	45.0	54.06647950027281	122.77535372356473	125	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
