Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR11647688_1_val_1	53.378485232232606	45.0	123.30493431480357	125	9.090909090909092	18353146.0
SRR11647688_2_val_2	50.436148782382276	45.0	122.80284900474284	125	9.090909090909092	18353146.0
SRR11647689_1_val_1	57.22836740976732	47.0	123.2122637170944	125	18.181818181818183	20103073.0
SRR11647689_2_val_2	53.852257362987054	47.0	122.85252767076953	125	18.181818181818183	20103073.0
SRR11647690_1_val_1	51.798881851044825	46.0	123.08347498921694	125	9.090909090909092	17112479.0
SRR11647690_2_val_2	48.891623749245795	46.0	122.71461703473821	125	0.0	17112479.0
SRR11647699_1_val_1	47.35348739912747	44.0	123.16268426300981	125	0.0	16977770.0
SRR11647699_2_val_2	44.46008136875446	45.0	122.72792610572532	125	0.0	16977770.0
SRR11647700_1_val_1	55.82884662451043	47.0	123.11133529479393	125	9.090909090909092	18187467.0
SRR11647700_2_val_2	52.961893506100836	47.0	122.67788879012124	125	9.090909090909092	18187467.0
SRR11647701_1_val_1	48.31957136938607	45.0	123.18476685821321	125	0.0	18942829.0
SRR11647701_2_val_2	45.93352049972719	45.0	122.77535372356473	125	0.0	18942829.0
