"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","significance"
"ENSG00000096006.12",9718.32473695725,-12.206678460982,0.758719880439861,6.69313178645896e-59,1.05336508055291e-54,"Down"
"ENSG00000117983.17",27424.6422212007,-13.8277757785975,0.861814619421763,1.59016940368638e-58,1.25130430376081e-54,"Down"
"ENSG00000204544.5",13579.3324169045,-11.2114247232556,0.725457746265789,6.92600987564959e-55,3.63338478076578e-51,"Down"
"ENSG00000169509.6",3051.51874419825,-5.96837499208076,0.408339007195621,1.2000442766594e-49,4.7215742065164e-46,"Down"
"ENSG00000060718.23",2953.5832794026,10.0726887990275,0.689719052045391,2.55968212210816e-49,8.05685544754766e-46,"Up"
"ENSG00000142623.11",1065.86160247489,-7.36282750866298,0.523155163052784,4.4012597050796e-46,1.15445042064238e-42,"Down"
"ENSG00000012223.14",1008.9292888954,-7.8107790728444,0.555829943972856,5.28064327328867e-46,1.18723948335739e-42,"Down"
"ENSG00000162896.7",8287.92866715256,-12.5106700658071,0.913551499921582,1.68424184074457e-43,3.31332476120475e-40,"Down"
"ENSG00000140519.15",13385.5026870504,-5.96576186814124,0.454885020799564,1.16887964530543e-40,2.04398087309076e-37,"Down"
"ENSG00000099953.11",1638.10922225766,7.93771978861868,0.621309856681494,1.66511007154351e-38,2.62055023059518e-35,"Up"
"ENSG00000123500.10",1967.34726326611,8.57683470480178,0.69426465003243,3.02236650249399e-36,4.32418218329549e-33,"Up"
"ENSG00000151388.11",938.645462316054,5.73683023157019,0.476644654813726,1.40596440078743e-34,1.84392231163271e-31,"Up"
"ENSG00000137745.14",1510.48551184659,7.30012645920128,0.642331244766883,3.75713416569785e-31,4.5484444230579e-28,"Up"
"ENSG00000136694.9",1128.77297640764,-11.0061929882914,0.972613544972017,3.16276884031587e-29,3.55540400063508e-26,"Down"
"ENSG00000133110.16",20239.4917860775,6.17196301370886,0.575543295761827,4.50478115298356e-28,4.72641638571035e-25,"Up"
"ENSG00000106483.13",3314.5294706037,5.94342706988233,0.56336211889841,2.90632858563139e-27,2.85873745504167e-24,"Up"
"ENSG00000184530.9",3114.26255252164,-12.968466716924,1.22781435563121,8.84244146643097e-26,8.18602022345239e-23,"Down"
"ENSG00000134551.14",376.621406993974,-6.79030788874943,0.665780247209768,1.36657565997556e-25,1.19484265203863e-22,"Down"
"ENSG00000166535.20",8636.46261668283,-6.24423542988954,0.615702964030899,1.78209193201023e-25,1.47613488557774e-22,"Down"
"ENSG00000160862.14",2338.65906430948,-8.15128078129387,0.816991303134279,9.06312431091467e-25,7.13177252025876e-22,"Down"
"ENSG00000164694.18",668.324622374663,5.56484415433938,0.557542550879149,1.04771891374879e-24,7.85190488789449e-22,"Up"
"ENSG00000108821.15",71505.4280591496,5.86120862174887,0.595484408229932,4.28747975959187e-24,3.06710711165713e-21,"Up"
"ENSG00000214711.11",1395.02698753325,-7.76788881271811,0.804218609373107,2.48326406853035e-23,1.69920043089264e-20,"Down"
"ENSG00000148848.15",1266.90501717846,5.55384755113735,0.58030214465769,5.85950423926012e-23,3.84236990489483e-20,"Up"
"ENSG00000116299.18",983.332464865323,-7.23174284958839,0.75746286613034,6.80051867984007e-23,4.28106251933292e-20,"Down"
"ENSG00000108839.13",331.668846388909,-3.62739759266599,0.381443274658311,1.27109706579683e-22,7.69404831596556e-20,"Down"
"ENSG00000172061.9",760.259468641694,7.07512482585464,0.745070163155911,1.37146005188823e-22,7.99408825800626e-20,"Up"
"ENSG00000196611.6",5553.52492559099,7.78179235006596,0.823700297872092,1.80319018197989e-22,1.01352168157141e-19,"Up"
"ENSG00000164692.20",52253.2117001801,4.48413274004727,0.477025731734028,3.16477970838243e-22,1.71749320863871e-19,"Up"
"ENSG00000149968.12",794.657782364226,8.42530875671375,0.901554189954593,6.87630036852283e-22,3.60730717332708e-19,"Up"
"ENSG00000122641.12",2582.93461410779,4.78608854058409,0.516119752607545,1.02141573261574e-21,5.18549703222791e-19,"Up"
"ENSG00000134531.11",23532.7338326758,-4.1176963768487,0.449363880632683,2.83661808515115e-21,1.3950842320034e-18,"Down"
"ENSG00000130635.18",4745.91684586839,3.9796555563216,0.439727666258642,8.64712471980022e-21,4.12389238909745e-18,"Up"
"ENSG00000135046.16",90583.1807844071,-4.03513071642956,0.451378442078518,2.20984355039742e-20,1.02289758223984e-17,"Down"
"ENSG00000168631.15",602.189266152947,-10.0256050305471,1.09898217334735,2.91551909449309e-20,1.31098398597521e-17,"Down"
